Time,ThermostatTargetTemperature,LivingroomTemperatureFault,LivingroomTemperatureBase
3030.1,20.5,17.723304,19.965483
3030.2,20.5,17.68263,19.987897
3035.2,20.5,17.642063,20.010253
3040.2,20.5,17.601601,20.03255
3045.2,20.5,17.561246,20.054789
3050.2,20.5,17.520997,20.07697
3055.2,20.5,17.480852,20.099092
3060.1,20.5,17.480852,20.099092
3060.2,20.5,17.440814,20.121157
3065.2,20.5,17.40088,20.143163
3070.2,20.5,17.36105,20.165112
3075.2,20.5,17.321325,20.187004
3080.2,20.5,17.281704,20.208838
3085.2,20.5,17.242187,20.230615
3090.1,20.5,17.242187,20.230615
3090.2,20.5,17.202774,20.252335
3095.2,20.5,17.163463,20.273998
3100.2,20.5,17.124256,20.295604
3105.2,20.5,17.085152,20.317153
3110.2,20.5,17.04615,20.338646
3115.2,20.5,17.00725,20.360083
3120.1,20.5,17.00725,20.360083
3120.2,20.5,16.968452,20.381464
3125.2,20.5,16.929755,20.402788
3130.2,20.5,16.891161,20.424057
3135.2,20.5,16.852667,20.44527
3140.2,20.5,16.814274,20.466427
3145.2,20.5,16.775981,20.487529
3150.1,20.5,16.775981,20.487529
